smiles,name
O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
,
OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1,p-hydroxybenzoic acid-geranyl ester
OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1,p-hydroxybenzoic acid-geranyl ester
OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1,p-hydroxybenzoic acid-geranyl ester
OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1,p-hydroxybenzoic acid-geranyl ester
OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1,p-hydroxybenzoic acid-geranyl ester
OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1,p-hydroxybenzoic acid-geranyl ester
,
,
,
O([C@H]1[C@H](O)[C@H](O)[C@H]([C@@H](O1)C)O)[C@@H]1[C@H](Oc2c(C1=O)c(O)cc(c2)O)c1cc(O)c(cc1)O,"astilbin; Rel-(2R, 3R)-dihydroquercetin-3-O-±-L-rhamnoside"
O([C@H]1[C@H](O)[C@H](O)[C@H]([C@@H](O1)C)O)[C@@H]1[C@H](Oc2c(C1=O)c(O)cc(c2)O)c1cc(O)c(cc1)O,"astilbin; Rel-(2R, 3R)-dihydroquercetin-3-O-±-L-rhamnoside"
O([C@H]1[C@H](O)[C@H](O)[C@H]([C@@H](O1)C)O)[C@@H]1[C@H](Oc2c(C1=O)c(O)cc(c2)O)c1cc(O)c(cc1)O,"astilbin; Rel-(2R, 3R)-dihydroquercetin-3-O-±-L-rhamnoside"
,
OC1=C(N=C(C=C1)CCCCCCC(CCCCC)=O)C,7′-multijuguinone
OC1=C(N=C(C=C1)CCCCCCC(CCCCC)=O)C,7′-multijuguinone
OC1=C(N=C(C=C1)CCCCCCC(CCCCC)=O)C,7′-multijuguinone
OC1=C(N=C(C=C1)CCCCCCC(CCCCC)=O)C,7′-multijuguinone
OC1=C(C)N=C(CCCCCCC(CCCCCO)=O)C=C1,12′-hydroxy-7′-multijuguinone
OC1=C(C)N=C(CCCCCCC(CCCCCO)=O)C=C1,12′-hydroxy-7′-multijuguinone
OC1=C(C)N=C(CCCCCCC(CCCCCO)=O)C=C1,12′-hydroxy-7′-multijuguinone
OC1=C(C)N=C(CCCCCCC(CCCCCO)=O)C=C1,12′-hydroxy-7′-multijuguinone
O=C(N2CCC=CC2=O)/C=C\C1=CC(OC)=C(OC)C(OC)=C1,"(Z)-piplartine; 8(Z)-N-(12,13, 14-trimethoxycinnamoyl)- 3-pyridin-2-one"
O=C(N2CCC=CC2=O)/C=C\C1=CC(OC)=C(OC)C(OC)=C1,"(Z)-piplartine; 8(Z)-N-(12,13, 14-trimethoxycinnamoyl)- 3-pyridin-2-one"
O=C(N2CCC=CC2=O)/C=C\C1=CC(OC)=C(OC)C(OC)=C1,"(Z)-piplartine; 8(Z)-N-(12,13, 14-trimethoxycinnamoyl)- 3-pyridin-2-one"
COC1=C(OC)C(OC)=CC(/C=C/C(N2CCC=CC2=O)=O)=C1,(E)-piplartine
COC1=C(OC)C(OC)=CC(/C=C/C(N2CCC=CC2=O)=O)=C1,(E)-piplartine
COC1=C(OC)C(OC)=CC(/C=C/C(N2CCC=CC2=O)=O)=C1,(E)-piplartine
COC1=C(OC)C(OC)=CC(CCC(N2CCC=CC2=O)=O)=C1,"8,9-dihydropiplartine; N-(12,13,14-trimethoxydihydrocinnamoyl)-Δ3-pyridin-2-one"
COC1=C(OC)C(OC)=CC(CCC(N2CCC=CC2=O)=O)=C1,"8,9-dihydropiplartine; N-(12,13,14-trimethoxydihydrocinnamoyl)-Δ3-pyridin-2-one"
COC1=C(OC)C(OC)=CC(CCC(N2CCC=CC2=O)=O)=C1,"8,9-dihydropiplartine; N-(12,13,14-trimethoxydihydrocinnamoyl)-Δ3-pyridin-2-one"
O=C(N3CCCCC3)/C=C/C=C/C1=CC(OCO2)=C2C=C1,Piperine
O=C(N3CCCCC3)/C=C/C=C/C1=CC(OCO2)=C2C=C1,Piperine
O=C(N3CCCCC3)/C=C/C=C/C1=CC(OCO2)=C2C=C1,Piperine
O=C(N3CCCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1,"10,11-dihydropiperine; Δα,β-dihydropiperine"
O=C(N3CCCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1,"10,11-dihydropiperine; Δα,β-dihydropiperine"
O=C(N3CCCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1,"10,11-dihydropiperine; Δα,β-dihydropiperine"
O=C(N([H])CC(C)C)/C=C/CCC1=CC(OCO2)=C2C=C1,"4,5-dihydropiperlonguminine; Piperlonguminine"
O=C(N([H])CC(C)C)/C=C/CCC1=CC(OCO2)=C2C=C1,"4,5-dihydropiperlonguminine; Piperlonguminine"
O=C(N([H])CC(C)C)/C=C/CCC1=CC(OCO2)=C2C=C1,"4,5-dihydropiperlonguminine; Piperlonguminine"
CCCCC/C=C/C=C/C(N([H])CC(C)C)=O,Pellitorine
CCCCC/C=C/C=C/C(N([H])CC(C)C)=O,Pellitorine
CCCCC/C=C/C=C/C(N([H])CC(C)C)=O,Pellitorine
O=C(N3CCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1,"4,5-dihydropiperyline"
O=C(N3CCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1,"4,5-dihydropiperyline"
O=C(N3CCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1,"4,5-dihydropiperyline"
O=C(N([H])CC(C)C)\C=C/C=C\CCC1=CC=C2C(OCO2)=C1,"(3Z,5Z)-N-isobutyl-8-(30,40-methylenedioxy-phenyl)-heptadienamide"
O=C(N([H])CC(C)C)\C=C/C=C\CCC1=CC=C2C(OCO2)=C1,"(3Z,5Z)-N-isobutyl-8-(30,40-methylenedioxy-phenyl)-heptadienamide"
